Data Pointer	Data File	Generated By	Attribute	Term Source REF	Term Accession Number	Unit	Term Source REF	Term Accession Number	Object Type	Label	Comment [Explanation]	
target_id	runs/kallisto_sleuth/sleuth_dge.csv	workflows/kallisto_sleuth.R	gene identifier	NCIT	C48664				String	Gene ID	Gene identifier, reference zum fasta	
pval	runs/kallisto_sleuth/sleuth_dge.csv	workflows/kallisto_sleuth.R	p-value	NCIT	C44185				Decimal	P-Value	Pvalue, has a term	
qval	runs/kallisto_sleuth/sleuth_dge.csv	workflows/kallisto_sleuth.R	q-value	NCIT	C64217				Decimal	Q-Value	qVal, has a term	
test_stat	runs/kallisto_sleuth/sleuth_dge.csv	workflows/kallisto_sleuth.R	test statistic	OBCS	0000013				Decimal	Test Statistic	test statisitc, has a term	
rss	runs/kallisto_sleuth/sleuth_dge.csv	workflows/kallisto_sleuth.R	residual	STATO	0000234				Decimal	Residual sum of squares	residual sum of squares, has a term	
degrees_free	runs/kallisto_sleuth/sleuth_dge.csv	workflows/kallisto_sleuth.R	number of degrees of freedom	STATO	0000069				Integer	Number Of Degrees Of Freedom	degrees of freedom, has a term	
mean_obs	runs/kallisto_sleuth/sleuth_dge.csv	workflows/kallisto_sleuth.R	mean	NCIT	C53319	Transcript Fragment Count per Million Formula	NCIT	C181324	Decimal	Mean	mean of observations, needs references	
var_obs	runs/kallisto_sleuth/sleuth_dge.csv	workflows/kallisto_sleuth.R	variance	NCIT	C48918				Decimal	Variance	variance of observations, needs references	
tech_var	runs/kallisto_sleuth/sleuth_dge.csv	workflows/kallisto_sleuth.R	variance	NCIT	C48918				Decimal	Technical variance	technical variance? Has a term	
sigma_sq	runs/kallisto_sleuth/sleuth_dge.csv	workflows/kallisto_sleuth.R	variance	NCIT	C48918				Decimal	Variance	variance of observations, needs references	
smooth_sigma_sq	runs/kallisto_sleuth/sleuth_dge.csv	workflows/kallisto_sleuth.R	smoothed variance						Decimal	Smoothed Variance	smoothed variance	
final_sigma_sq	runs/kallisto_sleuth/sleuth_dge.csv	workflows/kallisto_sleuth.R	corrected variance						Decimal	Corrected Variance	adjusted variance
